URL,Perfume,Brand,Gender,Rating Value,Rating Count,Weighted Rating,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,scent_profile,cluster,cluster_name
https://www.fragrantica.com/perfume/xerjoff/accento-overdose-pride-edition-74630.html,accento-overdose-pride-edition,xerjoff,unisex,1.42,201,2.856097090058383,"fruity notes, aldehydes, green notes","bulgarian rose, egyptian jasmine, lily-of-the-valley","eucalyptus, pine",rose,woody,fruity,aromatic,floral,"fruity notes, aldehydes, green notes bulgarian rose, egyptian jasmine, lily-of-the-valley eucalyptus, pine rose woody fruity aromatic floral",5,Fresh Green Aromatic
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html,classique-pride-2024,jean-paul-gaultier,women,1.86,70,3.3652336454017506,"yuzu, citruses","orange blossom, neroli","musk, blonde woods",citrus,white floral,sweet,fresh,musky,"yuzu, citruses orange blossom, neroli musk, blonde woods citrus white floral sweet fresh musky",8,White Floral Citrus
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html,classique-pride-2023,jean-paul-gaultier,unisex,1.91,285,2.8855821201903145,"blood orange, yuzu","neroli, orange blossom","musk, white woods",citrus,white floral,sweet,fresh spicy,musky,"blood orange, yuzu neroli, orange blossom musk, white woods citrus white floral sweet fresh spicy musky",8,White Floral Citrus
https://www.fragrantica.com/perfume/bruno-banani/pride-edition-man-55514.html,pride-edition-man,bruno-banani,men,1.92,59,3.4131992064982164,"guarana, grapefruit, red apple","walnut, lavender, guava","vetiver, benzoin, amber",fruity,nutty,woody,tropical,tropical,"guarana, grapefruit, red apple walnut, lavender, guava vetiver, benzoin, amber fruity nutty woody tropical tropical",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html,le-male-pride-collector,jean-paul-gaultier,men,1.93,632,2.557067003551162,"mint, lavender, cardamom, artemisia, bergamot","caraway, cinnamon, orange blossom","vanilla, sandalwood, amber, cedar, tonka bean",aromatic,warm spicy,fresh spicy,cinnamon,vanilla,"mint, lavender, cardamom, artemisia, bergamot caraway, cinnamon, orange blossom vanilla, sandalwood, amber, cedar, tonka bean aromatic warm spicy fresh spicy cinnamon vanilla",9,Fresh Lavender Aromatic
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html,le-male-pride-2023,jean-paul-gaultier,men,1.95,531,2.640067864784234,"yuzu, blood orange","neroli, orange blossom","musk, white woods",citrus,white floral,sweet,fresh spicy,green,"yuzu, blood orange neroli, orange blossom musk, white woods citrus white floral sweet fresh spicy green",8,White Floral Citrus
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html,le-male-pride-2024,jean-paul-gaultier,men,1.95,285,2.903256538794966,"citruses, yuzu","neroli, orange blossom","woodsy notes, musk",white floral,citrus,fresh,soapy,soapy,"citruses, yuzu neroli, orange blossom woodsy notes, musk white floral citrus fresh soapy soapy",8,White Floral Citrus
https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html,polo-red-pride-edition,ralph-lauren,men,2.05,107,3.289508495766066,"cranberry, pink grapefruit, citron","clary sage, lavender, saffron","amberwood, brazilian redwood, coffee",woody,amber,citrus,warm spicy,aromatic,"cranberry, pink grapefruit, citron clary sage, lavender, saffron amberwood, brazilian redwood, coffee woody amber citrus warm spicy aromatic",1,Warm Spicy Woody
https://www.fragrantica.com/perfume/ralph-lauren/ralph-pride-edition-62727.html,ralph-pride-edition,ralph-lauren,women,2.12,50,3.470366993957934,"tangerine, green apple, freesia","magnolia, lime (linden blossom), osmanthus","musk, white iris",citrus,fruity,floral,sweet,green,"tangerine, green apple, freesia magnolia, lime (linden blossom), osmanthus musk, white iris citrus fruity floral sweet green",5,Fresh Green Aromatic
https://www.fragrantica.com/perfume/we-pink/waffle-93845.html,waffle,we-pink,women,2.41,27,3.5708539212474233,"strawberry, almond, raspberry","butter, peach blossom, violet","praline, vanilla, musk",powdery,musky,violet,fruity,fresh,"strawberry, almond, raspberry butter, peach blossom, violet praline, vanilla, musk powdery musky violet fruity fresh",4,Sweet Vanilla Gourmand
